model,variant_id,level,template_id,field,row,auto_category,detail,ground_truth,predicted,reviewed_category,reviewer_note,suggested_category,suggestion_basis,self_consistency
google/gemini-2.5-flash-lite,syn00000__L3_harsh,L3_harsh,t01,seller_name,,wrong_value,needs review,deshmukh industries,redbrick industries,,,entity_substitution,kept 'industries',0.57
google/gemini-2.5-flash-lite,syn00022__L3_harsh,L3_harsh,t11,buyer_name,,wrong_value,needs review,menon electricals,mishra electricals,,,entity_substitution,kept 'electricals',0.60
google/gemini-2.5-flash-lite,syn00001__L3_harsh,L3_harsh,t02,igst_amount,,wrong_value,needs review,266.78,240.72,,,AMBIGUOUS-numeric,"unrelated number (266.78 vs 240.72, 10% off)",0.75
google/gemini-2.5-flash-lite,syn00018__L3_harsh,L3_harsh,t07,amount_in_words,,wrong_value,needs review,rupees two lakh eighty eight thousand five hundred and twenty eight only,two lakh fifty seven thousand three hundred seventy eight rupees and six paise only,,,entity_substitution,kept 'and eight hundred lakh only ru',0.56
google/gemini-2.5-flash-lite,syn00018__L3_harsh,L3_harsh,t07,buyer_name,,wrong_value,needs review,banerjee,abc,,,AMBIGUOUS-text,unrelated (fuzzy 18),0.56
google/gemini-2.5-flash-lite,syn00022__L3_harsh,L3_harsh,t11,seller_address,,wrong_value,needs review,338 mg indore madhya pradesh 462727,235 mg indore madhya pradesh 452001,,,character_misread,fuzzy 82,0.60
google/gemini-2.5-flash-lite,syn00018__L3_harsh,L3_harsh,t07,buyer_address,,wrong_value,needs review,431 midc phase ii thiruvananthapuram kerala 695031,456 cross bangalore 560001,,,AMBIGUOUS-text,unrelated (fuzzy 36),0.56
google/gemini-2.5-flash-lite,syn00009__L3_harsh,L3_harsh,t10,invoice_number,,wrong_value,needs review,GJ0281,GJOSKY,,,AMBIGUOUS-text,unrelated (fuzzy 33),0.67
google/gemini-2.5-flash-lite,syn00000__L3_harsh,L3_harsh,t01,unit,7,wrong_value,needs review,KGS,TON,,,AMBIGUOUS-text,unrelated (fuzzy 0),0.57
google/gemini-2.5-flash-lite,syn00000__L3_harsh,L3_harsh,t01,description,13,wrong_value,needs review,instant drink premix,instant desk cleaner,,,entity_substitution,kept 'instant',0.57
